"url","title","description","image"
"https://www.thetimes.co.uk/article/ask-james-dyson-jfrhm8nchzg","Ask James Dyson","Jacob D asks: Ever since I was a child and received my first science set and a small book about past inventors, I have always wanted to be an inventor. I’ve had a fascination with energy...",
"https://www.netflix.com/pt-en/title/80988062","Black Mirror: Bandersnatch | Netflix Official Site","In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.","https://occ-0-2268-358.1.nflxso.net/dnm/api/v5/rendition/b708981dc6520758139a4bc8e4d271c113cf863c/AAAABYDaZIrQjWwjWSiZPgUENRZ_KCFeIF4WE4t5YC4gBSd9WILZcSatQ6ZbRrSzf7q_OWh96-pWW_ha4m4vNGgaVXPdpaRLDrSgjefLKDDKpaJcc_CfAjx4jGreG_N0GVoogBx4_42xK9c6ZhgULgwl4U-GM7h5w5lDV3atK-TiLL2wfrMZRAa94Yn_Qw0YffZCBEDlbImaQw.jpg"
"https://www.news.com.au/lifestyle/food/drink/cocacola-launches-new-adult-drink-that-mixes-coffee-with-soft-drink/news-story/b6fd65b314ea2c92ced28824b47df549?utm_source=DesignTAXI&utm_medium=DesignTAXI&utm_term=DesignTAXI&utm_content=DesignTAXI&utm_campaign=DesignTAXI","Access Denied",,
"https://www.walmart.com/cp/1908812?u1=IS,SofADaVergaraJustMadetheUnder-$40JeansYourButtHasAlwaysWanted,lreilly805,FAS,ART,3417806,201902,I&oid=645206.1&wmlspartner=93xLBvPhAeE&sourceid=29947390703266111865&affillinktype=10&veh=aff","Sofia Jeans by Sofia Vergara - Walmart.com","Shop for Sofia Jeans by Sofia Vergara at Walmart.com. Save money. Live better.","http://sphotos-b.xx.fbcdn.net/hphotos-ash4/229244_10150189115584236_162217_n.jpg"
"https://www.kickstarter.com/projects/67420768/mim-x-the-first-smartwatch-with-invisible-display","mim X - The first smartwatch with INVISIBLE display","Powerful smartwatch with TLD technology. Embrace modern smarts without compromising classic elegance.","https://ksr-ugc.imgix.net/assets/021/019/776/2b61a478a6357b9db358b7f80c18549c_original.png?ixlib=rb-1.1.0&crop=faces&w=1552&h=873&fit=crop&v=1524713082&auto=format&frame=1&q=92&s=640eb0c6ddf82a53c157710e6e488ca2"
"https://www.jnsq.com/","Forbidden",,
"http://fortune.com/2016/09/22/pepsico-restaurant-kola-house/","http://fortune.com","Fortune 500 Daily &amp;amp; Breaking Business News ","http://fortune.com/img/misc/og-default.png"
"http://www.skippingrockslab.com","Skipping Rocks Lab","Ooho! the edible water bottle",
"https://www.ebayinc.com/stories/blogs/tech/interactive-visual-search/","Interactive Visual Search","Interactive visual search with user feedback helps buyers find the perfect item and while enjoying the exploratory journey.","https://static.ebayinc.com/static/assets/Uploads/Blog/Posts/_resampled/ScaleWidthWyIxMDI0Il0/Figure-5.png"
"http://www.ynap.com/news/net-a-porter-mr-porter-announce-enhanced-personal-shopping-services-for-top-customers/","NET-A-PORTER & MR PORTER announce enhanced personal shopping services for top customers | YOOX NET-A-PORTER GROUP",,
