radar_include,app_CODE,App_name,app_image,Author,Linked_megatrends,main_mega_link,Count mega trends,linked_microtrends,micro_code_list,MicroT #1,MicroT #2,MicroT #3,MicroT #4,MegaT #1,MegaT #2,MegaT #3,MegaT #4,App_description,filter_lists,implementation,technology,partner,what_do?
1,VIRTASSI,Virtual Assistants,https://imagesvc.timeincapp.com/v3/mm/image?url=https%3A%2F%2Ffortunedotcom.files.wordpress.com%2F2016%2F12%2Fgatebox-hikari-youtube.jpg&w=800&q=85,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,"A-Commerce,Body As Interface,Instant Written Customer Service","MT11,MT22,MT03",MT11,MT22,MT03,,Seamlessness/Ease,Seamlessness/Ease,Seamlessness/Ease,,"Virtual assistants can provide quick information to customers, employees or partners on the go. These assistants can be available to remote users through smartphones, smart speakers, or smart appliances. Presential users can access these assistants through kiosks. Chatbots can provide quick information to customers, employees or partners on the go. Can be made available through dedicated messaging APPs like WhatsAPP or embedded in existing channels like the on-line stores or APPs.",logistics,5,1,8,
1,AUTOORDE,Automatic Order and Checkout,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Seamlessness/Ease
Continuous Connection

",vocabulary_ich_1269,2,"A-Commerce,Instant Gratification,Quicker Frequent Shopping","MT11,MT36,MT21",MT11,MT36,MT21,,Seamlessness/Ease,Continuous Connection,Seamlessness/Ease,,"Automatic ordering and checkout is the simplest embodiment of the A-commerce trend. The aim of this application is always to rid the customer journey of all friction at the checkout and ordering stages. Subconsciously, if companies already carry so much data on consumers, why should they ever have to ask for confirmation/details on an action they've performed tens, hundreds or even thousands of times.
I've bought the same toilet paper for 3 years in a row, can the multi-million euro retailer I shop at pick up on that? ",pcg,4,2,10,
1,AUTOSTYL,Automatic Styling or Curatorship,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Seamlessness/Ease


",vocabulary_ich_1269,1,"A-Commerce,Quicker Frequent Shopping","MT11,MT21",MT11,MT21,,,Seamlessness/Ease,Seamlessness/Ease,,,"Automated styling is the most organic practical hemisphere of automated commerce. This previously sci-fi reserved ambition, would in theory (not for long) curate a consumer's cart whenever they need an extra hand with choosing or simply aren't interested in spending time differentiating between two products. For some, shopping for a summer wardrobe is a ritual, for others a pain. Despite it all, with select products and services, a majority of people don't necessarily value time spent in choosing - think detergent, toilet paper, toothpaste. Wouldn't it be amazing to have the ""just choose the cheapest one"" or ""get my anything whitening and minty"".","Human Resources,L O L, Teste",4,2,8,
1,EMPOAWAR,Empower and Raise awareness,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Aging Workforce,MT19,MT19,,,,Corporate Responsibility,,,,"While we can tackle the aging problem by leveraging complex engineering solutions, the human dimension remains. This sphere is often harder to approach due to its inherent abstractiveness and inertia for culture change. A well-oiled corporate environment in the future will necessarily nurture collaboration between senior and junior employees - optimizing knowledge transfer and better exploring the value of experience so commonly overlooked.",logistics,6,3,10,
1,GREYGIGS,Grey Gigs,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Aging Workforce,MT19,MT19,,,,Corporate Responsibility,,,,Making part-time or freelance job opportunities available to retirees to overcome scarcity of labour and allow them an extra income stream and a renewed sense of purpose.,"pcg,apagar",1,0,0,preencher
1,CRUEFREE,Cruelty free products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Corporate Responsibility


",vocabulary_ich_1284,1,Animal Rights,MT43,MT43,,,,Corporate Responsibility,,,,Include in the assortment products that can be communicated as cruelty free. The sourcing of these product can be done by scouting producers that are already using cruelty free production approaches or by providing training to the producers of our club towards those approaches.,Human Resources,4,0,1,
1,AWARCAMP,Awareness Campaigns,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,Animal Rights,MT43,MT43,,,,Corporate Responsibility,,,,"While brands develop communication to be inspiring and convince customers that they are guided by the correct values, different awareness campaigns may be created and supported.",logistics,3,0,0,
1,TOOLHUMA,Tools to provide humanized services,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Authenticity/Disconnection
Seamlessness/Ease

",vocabulary_ich_1265,2,"Authentic People,Instant Written Customer Service","MT07,MT03",MT07,MT03,,,Authenticity/Disconnection,Seamlessness/Ease,,,Provide tools that deliver quick and relevant information for employees of customer care (call centres) to allow the written contact with several customers simultaneously. ,apagar,1,3,5,
1,PRAIHUMA,Praise humanity,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Authenticity/Disconnection


",vocabulary_ich_1265,1,Authentic People,MT07,MT07,,,,Authenticity/Disconnection,,,,"With robots and automation making more and more frequent appearances in our everyday lives, we, people, are confronted with the progressive decrease in human interaction. Despite this, at our core, we are social animals, and we like being with other people (whether we like it or not, ah!). A collateral consequence that arises is that people give authenticity and humanity higher value. Federico Marchetti said it beautifully when he predicted that ""in the future there will be one label that will convey [a sense quality] to the customers - 'Made by Humans'"".
Making the right choices when it comes to automation isn't always limited to efficiency and cost. Allowing the human touch to permeate your products and services where it matters most, can be a powerful loyalty driver, justifying and even contradicting RPAs or seamlessness.",Human Resources,3,1,2,
1,OFFLPROD,Offline products and services,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Authenticity/Disconnection


",vocabulary_ich_1265,1,Authentic People,MT07,MT07,,,,Authenticity/Disconnection,,,,"Develop and communicate a new range of products and services to help customers that want to stay more time offline to still get convenience, quality and attractive prices.",logistics,3,0,0,
